Latitude,Longitude,BoreholeID,FC_3,FC_6,FC_9,FC_12,FC_15,FC_18,M_3,M_6,M_9,M_12,M_15,M_18,N_3,N_6,N_9,N_12,N_15,N_18,amax_3,amax_6,amax_9,amax_12,amax_15,amax_18,lpi_component_3,lpi_component_6,lpi_component_9,lpi_component_12,lpi_component_15,lpi_component_18,lpi
22.35842,91.839132,1,57.83764529039698,81.12080255180415,62.73564606549976,64.18279619423153,65.60752513703088,60.56545098745922,6.5,6.5,6.5,6.5,6.5,6.5,3.0,1.0,3.0,3.0,3.0,4.0,2.4525,2.4525,2.4525,2.4525,2.4525,2.4525,9.5625,11.8188,8.78295,6.5328,4.0275,1.4742,42.19875
22.392416,91.85404,2,39.6681579413982,69.2664018206424,71.05830719878892,72.46324829110338,73.8186157849436,46.54941168562578,6.5,6.5,6.5,6.5,6.5,6.5,6.0,2.0,2.0,2.0,2.0,7.0,2.4525,2.4525,2.4525,2.4525,2.4525,2.4525,6.306149999999999,11.4471,9.401699999999998,6.864000000000001,4.173,1.2363,39.42825
22.381859,91.849671,3,67.21175727512902,80.86879029661806,82.22797174221108,18.48606786686463,53.69395684248752,55.14963500808872,6.5,6.5,6.5,6.5,6.5,6.5,2.0,1.0,1.0,20.0,5.0,5.0,2.4525,2.4525,2.4525,2.4525,2.4525,2.4525,10.608,12.1191,9.6822,0.3972000000000002,3.591,1.3959,37.7934
22.335694,91.832886,4,18.83754001001295,1.714895673780745,3.139387390884462,4.404675209527296,5.57457124523904,6.682533989867666,6.5,6.5,6.5,6.5,6.5,6.5,14.0,50.0,50.0,50.0,50.0,50.0,2.4525,2.4525,2.4525,2.4525,2.4525,2.4525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.354466,91.841056,5,57.83764529039698,21.96944994642697,41.2420813270594,20.62419970093665,24.7773080697735,23.68610130656064,6.5,6.5,6.5,6.5,6.5,6.5,3.0,14.0,7.0,18.0,16.0,18.0,2.4525,2.4525,2.4525,2.4525,2.4525,2.4525,9.5625,2.568299999999999,6.878850000000001,1.1388,1.20525,0.2784,21.6321
22.374563,91.814439,6,35.58134773150548,69.2664018206424,55.58991372366216,29.48238507643028,5.57457124523904,6.682533989867666,6.5,6.5,6.5,6.5,6.5,6.5,7.0,2.0,4.0,12.0,50.0,50.0,2.4525,2.4525,2.4525,2.4525,2.4525,2.4525,5.1918,11.4471,8.426549999999999,3.4248,0.0,0.0,28.49025
22.340857,91.786005,7,39.4191282740649,47.72084998995947,55.80839291396523,64.18279619423153,59.20365146882599,50.53251231531376,6.5,6.5,6.5,6.5,6.5,6.5,6.0,5.0,4.0,3.0,4.0,6.0,2.4525,2.4525,2.4525,2.4525,2.4525,2.4525,6.47955,9.198,8.31765,6.5328,3.78825,1.3164,35.63265
22.358241,91.812473,8,22.41270599785952,25.40468682497209,3.139387390884462,4.404675209527296,5.57457124523904,6.682533989867666,6.5,6.5,6.5,6.5,6.5,6.5,12.0,12.0,50.0,50.0,50.0,50.0,2.4525,2.4525,2.4525,2.4525,2.4525,2.4525,0.0,4.1097,0.0,0.0,0.0,0.0,4.1097
22.361617,91.812004,9,7.313275812433337,1.714895673780745,3.139387390884462,4.404675209527296,5.57457124523904,6.682533989867666,6.5,6.5,6.5,6.5,6.5,6.5,27.0,50.0,50.0,50.0,50.0,50.0,2.4525,2.4525,2.4525,2.4525,2.4525,2.4525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.337134,91.828106,10,24.25076496102125,11.88913622366318,7.956746602364317,4.404675209527296,5.57457124523904,6.682533989867666,6.5,6.5,6.5,6.5,6.5,6.5,11.0,23.0,33.0,50.0,50.0,50.0,2.4525,2.4525,2.4525,2.4525,2.4525,2.4525,0.6579000000000012,0.0,0.0,0.0,0.0,0.0,0.6579000000000012
22.344726,91.792823,11,22.41270599785952,6.641676165824959,12.6881237616001,52.03834430222726,5.57457124523904,6.682533989867666,6.5,6.5,6.5,6.5,6.5,6.5,12.0,33.0,25.0,5.0,50.0,50.0,2.4525,2.4525,2.4525,2.4525,2.4525,2.4525,0.0,0.0,0.0,5.8056,0.0,0.0,5.8056
22.33035,91.80762,12,57.83764529039698,60.33894479265607,37.73758554806249,8.942232972746302,5.57457124523904,6.682533989867666,6.5,6.5,6.5,6.5,6.5,6.5,3.0,3.0,8.0,35.0,50.0,50.0,2.4525,2.4525,2.4525,2.4525,2.4525,2.4525,9.5625,10.7604,6.38715,0.0,0.0,0.0,26.710050000000003
22.388973,91.83671,13,50.07012122487031,29.62280482065484,71.05830719878892,72.46324829110338,41.56025913849816,74.79676880928585,6.5,6.5,6.5,6.5,6.5,6.5,4.0,10.0,2.0,2.0,8.0,2.0,2.4525,2.4525,2.4525,2.4525,2.4525,2.4525,8.779650000000002,5.697299999999999,9.401699999999998,6.864000000000001,2.973,1.6269,35.34255
22.399423,91.833365,14,66.73942414042723,80.86879029661806,82.02992243251495,20.62419970093665,19.07011463142319,19.56010559245824,6.5,6.5,6.5,6.5,6.5,6.5,2.0,1.0,1.0,18.0,21.0,22.0,2.4525,2.4525,2.4525,2.4525,2.4525,2.4525,11.01345,12.1191,9.871950000000002,1.1388,0.09,0.0,34.2333
